discoveryID,name,field,description
D001,Treatises on women's health,Medicine; Gynecology; Obstetrics,"Foundational medieval medical writings on gynecology, obstetrics, menstruation, childbirth, and women's health, traditionally associated with Trota of Salerno."
D002,Early childbirth pain relief methods,Medicine; Obstetrics,Described the use of plant-derived substances to relieve pain during childbirth and practical treatments for childbirth.
D003,Menstrual health treatments,Medicine; Gynecology,"Described treatments intended to regulate menstruation, including the use of medicated pads or tampons."
D004,Dermatological observations,Medicine; Dermatology,Described dermatological manifestations of disease and contributed to early medical knowledge of skin conditions.
D005,Sex chromosome determination,Genetics; Biology,"Demonstrated that chromosomes play a role in determining sex by identifying distinct chromosome types in male and female mealworms, providing foundational evidence for the XY sex-determination system."
D006,Nuclear fission explanation,Nuclear Physics; Physics,"Provided the theoretical explanation for nuclear fission after Otto Hahn and Fritz Strassmann experimentally detected barium from irradiated uranium, recognizing that the uranium nucleus had split and released enormous energy."
D007,Discovery of protactinium,Chemistry; Nuclear Physics,"Co-discovered protactinium, the chemical element with atomic number 91."
D008,Auger effect,Atomic Physics; Nuclear Physics,Independently discovered and explained the process in which atoms emit electrons after releasing excess energy.
D009,Nuclear photographic emulsions,Nuclear Physics; Particle Physics,Developed highly sensitive photographic nuclear-emulsion techniques for detecting charged particles.
D010,Disintegration stars,Particle Physics; Cosmic-Ray Physics,"With Hertha Wambacher, observed characteristic disintegration stars produced when cosmic rays interacted with atomic nuclei."
D011,Photomultiplier and scintillation counter methods,Particle Physics; Nuclear Physics,Was among the first physicists to propose combining early photomultiplier tubes with scintillation counters for particle detection.
D012,DNA X-ray diffraction,Biophysics; Molecular Biology; X-ray Crystallography,"Produced exceptionally important X-ray diffraction data on DNA, including Photograph 51, providing structural measurements crucial to determining DNA's molecular geometry."
D013,DNA helical structure evidence,Molecular Biology; Biophysics,Used diffraction analysis to establish structural parameters demonstrating that DNA has a helical structure.
D014,RNA virus structure,Molecular Biology; Virology; X-ray Crystallography,"Made major contributions to understanding the structures of RNA viruses, particularly tobacco mosaic virus."
D015,Pulsars,Astrophysics; Radio Astronomy,Discovered the first known pulsar in 1967 while analyzing radio-telescope recordings and recognizing an unusually regular repeating radio signal from the constellation Vulpecula.
D016,Early pulsar observations,Astrophysics; Radio Astronomy,Helped identify additional pulsars and establish that the original repeating signal was astronomical rather than terrestrial interference.
D017,Paired-associate learning paradigm,Experimental Psychology; Psychology of Memory,"Developed an experimental method for studying memory in which participants learn associations between paired stimuli, becoming a classic paradigm in memory research."
